Area,Bone Walk,Number,Class or superclass,Order,TerrestrialorAquatic,> 5 cm?,Color
129,TB-BW29,29,Mammalia,Artiodactyla,Terrestrial,n,"lt gry, buff"
129,TB-BW28,43,Mammalia,Artiodactyla,Terrestrial,n,"gry, buff, bk"
129,TB-BW28,47,Mammalia,Artiodactyla,Terrestrial,n,"dk gry, lt gry"
129,TB-BW28,53,Mammalia,Artiodactyla,Terrestrial,n,"bk, dk gry"
129,TB-BW23,3,Mammalia,Artiodactyla,Terrestrial,n,"or, bl-gry"
129,TB-BW28,32,Mammalia,Artiodactyla,Terrestrial,n,"bk, lt or"
129,TB-BW24,17,Mammalia,Artiodactyla,Terrestrial,y,"dk gry, buff, brn"
129,TB-BW24,17,Mammalia,Artiodactyla,Terrestrial,y,"dk gry, buff, brn"
129,TB-BW28,22,Mammalia,Artiodactyla,Terrestrial,y,brn
129,TB-BW24,2,Mammalia,Artiodactyla,Terrestrial,n,"lt buff, gry"
129,TB-BW24,2,Mammalia,Artiodactyla,Terrestrial,n,"lt buff, gry"
129,TB-BW28,33,Mammalia,Artiodactyla,Terrestrial,n,dk brn
129,TB-BW23,17,Mammalia,Artiodactyla,Terrestrial,n,"wt, brn"
129,TB-BW29,21,Mammalia,Artiodactyla,Terrestrial,n,"gry, wt, or"
129,TB-BW28,40,Mammalia,Artiodactyla,Terrestrial,n,"lt buff, dk gry-brn"
129,TB-BW23,8,Mammalia,Artiodactyla,Terrestrial,y,lt buff
129,TB-BW29,19,Mammalia,Artiodactyla,Terrestrial,n,"lt or, gry-brn"
129,TB-BW28,5,Mammalia,Artiodactyla,Terrestrial,n,lt bl-gry
129,TB-BW29,11,Mammalia,Artiodactyla,Terrestrial,n,lt buff
129,TB-BW28,11,Mammalia,Artiodactyla,Terrestrial,n,"gry-brn, lt or"
129,TB-BW28,39,Mammalia,Artiodactyla,Terrestrial,n,"lt buff, bk"
129,TB-BW28,13,Mammalia,Artiodactyla,Terrestrial,n,"lt gry, lt or"
129,TB-BW28,35,Mammalia,Artiodactyla,Terrestrial,n,"bl-gry, lt buff"
129,TB-BW30,16,Mammalia,Artiodactyla,Terrestrial,n,gry
129,TB-BW30,17,Mammalia,Artiodactyla,Terrestrial,n,"lt or, lt gry"
129,TB-BW24,29,Mammalia,Artiodactyla,Terrestrial,y,"bk, dk gry"
129,TB-BW24,29,Mammalia,Artiodactyla,Terrestrial,y,"bk, dk gry"
129,TB-BW30,8,Mammalia,Artiodactyla,Terrestrial,n,gry-brn
129,TB-BW30,25,Mammalia,Artiodactyla,Terrestrial,y,"lt gry, pink-buff"
129,TB-BW28,27,Mammalia,Artiodactyla,Terrestrial,y,"or, lt gry"
129,TB-BW29,14,Mammalia,Artiodactyla,Terrestrial,y,"bl-gry, buff"
129,TB-BW28,38,Mammalia,Artiodactyla,Terrestrial,n,"brn, lt buff"
129,TB-BW23,11,Mammalia,Artiodactyla,Terrestrial,n,"buff, bk"
129,TB-BW23,19,Mammalia,Artiodactyla,Terrestrial,y,"lt buff, wt"
129,TB-BW28,4,Mammalia,Artiodactyla,Aquatic,n,"gry, wt"
129,TB-BW28,17,Mammalia,Artiodactyla,Aquatic,n,"bl-gry, buff"
129,TB-BW28,46,Mammalia,Artiodactyla,Aquatic,y,"lt yel, gry"
129,TB-BW23,1,Mammalia,Artiodactyla,Aquatic,y,"bk, wt"
129,TB-BW23,15,Mammalia,Artiodactyla,Aquatic,y,"bk, bl-gry"
129,TB-BW24,10,Mammalia,Artiodactyla,Aquatic,n,gry
129,TB-BW24,10,Mammalia,Artiodactyla,Aquatic,n,gry
129,TB-BW30,9,Mammalia,Artiodactyla,Aquatic,n,"brn-gry, bl-gry"
129,TB-BW30,23,Mammalia,Artiodactyla,Aquatic,n,"lt or, yel"
129,TB-BW30,22,Mammalia,Artiodactyla,Terrestrial,n,"wt, lt gry-brn"
129,TB-BW28,7,Mammalia,Artiodactyla,Terrestrial,y,"lt gry, lt or"
129,TB-BW28,14,Mammalia,Artiodactyla,Terrestrial,n,lt gry  
129,TB-BW24,25,Mammalia,Artiodactyla,Terrestrial,n,"lt or, bl-gry"
129,TB-BW24,25,Mammalia,Artiodactyla,Terrestrial,n,"lt or, bl-gry"
129,TB-BW29,1,Mammalia,Artiodactyla,Terrestrial,n,"bl-gry, buff"
129,TB-BW29,4,Mammalia,Artiodactyla,Terrestrial,y,"dk gry, lt or"
129,TB-BW29,9,Mammalia,Artiodactyla,Terrestrial,n,"wt, bl-gry"
129,TB-BW29,23,Mammalia,Artiodactyla,Terrestrial,n,"wt, lt or"
129,TB-BW30,12,Mammalia,Artiodactyla,Terrestrial,n,"lt gry, wt"
129,TB-BW30,14,Mammalia,Artiodactyla,Terrestrial,n,lt gry  
129,TB-BW30,19,Mammalia,Artiodactyla,Terrestrial,n,"or-brn, buff, lt or"
129,TB-BW30,20,Mammalia,Artiodactyla,Terrestrial,n,lt bl-gry
129,TB-BW29,5,Mammalia,Artiodactyla,Terrestrial,y,"bk, lt buff"
129,TB-BW28,41,Mammalia,Carnivora,Terrestrial,n,"lt yel-gry, buff, gry"
129,TB-BW28,1,Reptilia,Crocodilia,Aquatic,n,pink-gry
129,TB-BW28,8,Reptilia,Crocodilia,Aquatic,n,"dk gry, wt"
129,TB-BW28,10,Reptilia,Crocodilia,Aquatic,n,"dk gry, lt gry"
129,TB-BW28,16,Reptilia,Crocodilia,Aquatic,~,"bk, wt "
129,TB-BW28,20,Reptilia,Crocodilia,Aquatic,n,"wt, dk gry"
129,TB-BW28,26,Reptilia,Crocodilia,Aquatic,n,lt gry
129,TB-BW28,45,Reptilia,Crocodilia,Aquatic,n,bk
129,TB-BW28,50,Reptilia,Crocodilia,Aquatic,n,brn-bk
129,TB-BW28,56,Reptilia,Crocodilia,Aquatic,y,"lt buff, dk gry "
129,TB-BW23,4,Reptilia,Crocodilia,Aquatic,n,bk  
129,TB-BW24,3,Reptilia,Crocodilia,Aquatic,n,"wt, gry"
129,TB-BW24,7,Reptilia,Crocodilia,Aquatic,n,"buff, dk brn"
129,TB-BW24,11,Reptilia,Crocodilia,Aquatic,y,lt buff
