,,,," n-alkane  d13C (ä, VPDB)",,,,,,,, n-alkane  d13C standard error of the mean,,,,,," n-alkanoic acid  d13C (ä, VPDB)",,,,,,,, n-alkanoic acid  d13C s.e.m.,,,,
Field Number,Lab ID, level (m),elev (masl),C27,C29,C31,C33,C35,%C4,± %C4,,C27,C29,C31,C33,C35,,C26,C28,C30,C32,C34,%C4,± %C4,,C26,C28,C30,C32,C34
KF170714.129.001,KU559,0.64,451.93,-27.0,-28.7,-26.6,-25.3,-25.4,47,23,,0.4,0.3,0.4,0.5,0.2,,-26.1,-26.7,-26.2,-23.3,--,50,23,,0.4,0.5,0.4,1.0,1.9
KF170714.129.002,KU560,1.81,453.10,--,--,--,--,--,--,--,,--,--,--,--,--,,-28.5,-29.0,-30.2,--,--,18,27,,0.4,0.5,0.4,--,--
KF170714.129.003,KU561,6.77,458.06,--,--,--,--,--,--,--,,--,--,--,--,--,,-27.2,-27.0,-27.9,-28.3,-23.6,36,24,,0.4,0.5,0.4,1.0,1.9
KF170715.129.001,KU563,9.64,460.93,-25.1,-27.4,-26.7,-25.3,-23.6,46,23,,0.8,0.5,0.7,0.9,0.4,,-26.5,-26.4,-26.4,-23.3,-21.5,48,23,,0.4,0.5,0.4,1.0,1.9
KF170715.129.003,KU565,10.18,461.47,-26.7,-27.4,-25.6,-24.8,-22.3,55,23,,0.8,0.5,0.7,0.9,0.4,,-25.7,-27.1,-26.7,-25.0,-22.9,46,23,,0.4,0.5,0.4,1.0,1.9
KF170715.129.004,KU566,11,462.29,-27.1,-28.6,-27.0,-24.6,-25.6,43,23,,0.8,0.5,0.7,0.9,0.4,,-25.1,-24.9,-27.3,-27.0,-23.2,41,23,,0.4,0.5,0.4,1.0,1.9
KF170715.129.002,KU564,12.8,464.09,-23.4,-26.1,-22.8,-21.5,-22.6,77,26,,0.8,0.5,0.7,0.9,0.4,,-23.4,-22.4,-21.7,-21.1,-19.2,86,28,,0.4,0.5,0.4,1.0,1.9
KF170714.129.004,KU562,13.33,464.62,-28.5,-28.6,-27.1,-26.2,-25.3,43,23,,0.8,0.5,0.7,0.9,0.4,,-27.7,-27.3,-26.9,-27.7,-25.5,44,23,,0.4,0.5,0.4,1.0,1.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
