Sample_ID,Site,Inclusive site,Geologic Member/Level,Order,Family.modifier,Family,Tribe.modifier,Tribe,Reference/ Repository
ZK-EN-D19,Dikika,Hadar,UBM,Artiodactyla,,Bovidae,,Aepycerotini,Bedaso et al 2013
ZK-EN-D15,Dikika,Hadar,UBM,Artiodactyla,,Suidae,,Potamochoerini,Bedaso et al 2013
ZK-EN-D22,Dikika,Hadar,UBM,Artiodactyla,,Suidae,,Potamochoerini,Bedaso et al 2013
ZK-EN-D23,Dikika,Hadar,UBM,Artiodactyla,,Suidae,,Potamochoerini,Bedaso et al 2013
ZK-EN-D24,Dikika,Hadar,UBM,Artiodactyla,,Suidae,,Potamochoerini,Bedaso et al 2013
ZK-EN-D16,Dikika,Hadar,UBM,Artiodactyla,,Suidae,,Nyanzachoerini,Bedaso et al 2013
ZK-EN-D42,Dikika,Hadar,UBM,Artiodactyla,,Suidae,,Nyanzachoerini,Bedaso et al 2013
ZK-EN-D20,Dikika,Hadar,UBM,Artiodactyla,,Bovidae,,Alcelaphini,Bedaso et al 2013
ZK-EN-D336,Dikika,Hadar,UBM,Artiodactyla,,Bovidae,,Alcelaphini,Bedaso et al 2013
ZK-EN-D21,Dikika,Hadar,UBM,Artiodactyla,,Bovidae,,Bovini,Bedaso et al 2013
ZK-EN-D45,Dikika,Hadar,UBM,Artiodactyla,,Bovidae,,Tragelaphini,Bedaso et al 2013
ZK-EN-D30,Dikika,Hadar,UBM,Artiodactyla,,Hippopotamidae,,,Bedaso et al 2013
ZK-EN 328,Dikika,Hadar,UBM,Perissodactyla,,Equidae,,,Bedaso et al 2013
ZK-EN 323,Dikika,Hadar,UBM,Perissodactyla,,Rhinocerotidae,,,Bedaso et al 2013
DIK 2 1,Dikika,Hadar,BM,Primates,,Hominidae,,Hominini,Wynn 2016
ZK-EN-D100,Dikika,Hadar,UBM,Proboscidea,,Deinotheriidae,,,Bedaso et al 2013
ZK-EN-D25,Dikika,Hadar,UBM,Proboscidea,,Elephantidae,,,Bedaso et al 2013
ZK-EN-D29,Dikika,Hadar,UBM,Proboscidea,,Elephantidae,,,Bedaso et al 2013
AV FS 1509,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
AV FS 1512,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
AV FS 1519,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
AV FS 1575,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,cf,Aepycerotini,Turkana Basin Database
AV-FS-13-53,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
AV-FS-13-88,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
AV-FS-13-99,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
ET03-123,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
ET03-150,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER2818,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER2915,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER2916,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER2917,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER2918,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER2919,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER2920,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER4560,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER4605,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER4762,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER4835,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER4859,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER4955,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER4955,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER5205,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER5205,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER5848,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER5848,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER5849,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
KNMER5849,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
Primate-Arch 1028,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
Primate-Arch 1070,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
Primate-Arch 1078,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
Primate-Arch 1106,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Aepycerotini,Turkana Basin Database
AV-FS-13-116,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Antilopini,Turkana Basin Database
KNMER1740,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER1740,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER1740,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER1740,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER1740,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER2813,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER2837,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER2837,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER2837,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER2837,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER2848,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER2867,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER2898,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER2902,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER4461,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
KNMER5228,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
ET03-154,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Alcelaphini,Turkana Basin Database
AV FS 1540,East Turkana,East Turkana,Lokochot,Artiodactyla,,Equidae,,Hipparionini,Turkana Basin Database
KNMER2839,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Antilopini,Turkana Basin Database
KNMER2839,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Antilopini,Turkana Basin Database
KNMER2840,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Antilopini,Turkana Basin Database
KNMER2841,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Antilopini,Turkana Basin Database
KNMER4468,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Antilopini,Turkana Basin Database
KNMER4760,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Antilopini,Turkana Basin Database
KNMER4785,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Antilopini,Turkana Basin Database
KNMER4850,East Turkana,East Turkana,Lokochot,Artiodactyla,,Bovidae,,Antilopini,Turkana Basin Database
74-570,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
74-571,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER1488,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER1489,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER2926,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER2927,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER2932,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER2933,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER2935,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER2936,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
KNMER3893,East Turkana,East Turkana,Lokochot,Artiodactyla,,Giraffidae,,Giraffini,Turkana Basin Database
